program,n,threads,param_name,param_value,avg_time
C_recursive,1000000,4,min_size,10000,0.563600
C_recursive,1000000,4,min_size,100000,0.577800
pthreads_A_noLock,100000,1,-,-,0.002234
pthreads_A_noLock,100000,2,-,-,0.001654
pthreads_A_noLock,100000,3,-,-,0.001504
pthreads_A_noLock,100000,4,-,-,0.001554
pthreads_A_noLock,1000000,1,-,-,0.014666
pthreads_A_noLock,1000000,2,-,-,0.009459
pthreads_A_noLock,1000000,3,-,-,0.007284
pthreads_A_noLock,1000000,4,-,-,0.005897
pthreads_A_noLock,10000000,1,-,-,0.115915
pthreads_A_noLock,10000000,2,-,-,0.069281
pthreads_A_noLock,10000000,3,-,-,0.062091
pthreads_A_noLock,10000000,4,-,-,0.050109
